date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:04	210569/210569	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2011:01:04%20GMT	https://www.lbpam.com/fr	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr.html	(from )
12:01:05	74/74	---MCZ	200	added ('OK')	text/plain	date:Wed,%2024%20Jan%202024%2011:01:04%20GMT	https://www.lbpam.com/robots.txt		(from )
12:01:06	5336/5336	---M--	200	added ('OK')	image/jpeg	etag:0x8DB6B3A831BC5BA	https://lbpamprodcdn.azureedge.net/cmsmedia/data/shared/imageFolder/small-crop-[id=1299]homepage-64ff225f4344404a2b23cce24b215c146333767f.jpg	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/cmsmedia/data/shared/imageFolder/small-crop-[id=1299]homepage-64ff225f4344404a2b23cce24b215c146333767f.jpg	(from https://www.lbpam.com/fr)
12:01:06	789/789	---MCZ	200	added ('OK')	text/css	etag:W/%22ab043909e674467a507cb0fd455e385f%22	https://www.lbpam.com/resources/css/styles-ab043909e674467a507cb0fd455e385f.css	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/resources/css/styles-ab043909e674467a507cb0fd455e385f.css	(from https://www.lbpam.com/fr)
12:01:07	251439/251439	---MCZ	200	added ('OK')	text/css	date:Fri,%2005%20Jan%202024%2010:07:06%20GMT	https://lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/css/bootstrap-theme.css	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/css/bootstrap-theme.css	(from https://www.lbpam.com/fr)
12:01:07	467113/467113	---MCZ	200	added ('OK')	text/css	date:Fri,%2005%20Jan%202024%2010:07:06%20GMT	https://lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/css/custom-theme.css	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/css/custom-theme.css	(from https://www.lbpam.com/fr)
12:01:08	40606/40606	---MCZ	200	added ('OK')	text/css	date:Fri,%2005%20Jan%202024%2010:07:06%20GMT	https://lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/css/website-fonts.css	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/css/website-fonts.css	(from https://www.lbpam.com/fr)
12:01:09	8362/8362	---MCZ	200	added ('OK')	text/css	date:Fri,%2005%20Jan%202024%2010:07:06%20GMT	https://lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/css/font.css	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/css/font.css	(from https://www.lbpam.com/fr)
12:01:10	1484/1484	---MC-	200	added ('OK')	application/javascript	etag:W/%228e147b8b54b25885fcad6744417414ce%22	https://www.lbpam.com/resources/js/expirable-localstorage/index-8e147b8b54b25885fcad6744417414ce.js	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/resources/js/expirable-localstorage/index-8e147b8b54b25885fcad6744417414ce.js	(from https://www.lbpam.com/fr)
12:01:10	54652/54652	---M-Z	200	added ('OK')	application/javascript	etag:%22947b13eee2f7c9fc7d205c13cb762762+gzip%22	https://cdn.tagcommander.com/5910/tc_LBPAM_27.js	C:/Mes%20Sites%20Web/lbp/cdn.tagcommander.com/5910/tc_LBPAM_27.js	(from https://www.lbpam.com/fr)
12:01:10	55149/55149	---M-Z	200	added ('OK')	application/javascript	etag:%2260c6c0bbdb7c6efc77176d5bbb51b710+gzip%22	https://cdn.tagcommander.com/5910/tc_LBPAM_28.js	C:/Mes%20Sites%20Web/lbp/cdn.tagcommander.com/5910/tc_LBPAM_28.js	(from https://www.lbpam.com/fr)
12:01:10	140178/140178	---M-Z	200	added ('OK')	application/javascript	etag:%221e1b145722f436034cb6c228ee39a58d+gzip%22	https://cdn.tagcommander.com/5910/tc_LBPAM_29.js	C:/Mes%20Sites%20Web/lbp/cdn.tagcommander.com/5910/tc_LBPAM_29.js	(from https://www.lbpam.com/fr)
12:01:11	5138/5138	---M--	200	added ('OK')	image/png	etag:0x8DC0DD613959D51	https://lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/img/Logo_LBPAM.png	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/img/Logo_LBPAM.png	(from https://www.lbpam.com/fr)
12:01:12	5206/5206	---M--	200	added ('OK')	image/png	etag:0x8DC0DD61AA5A9ED	https://lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/img/logo-lbpam-blue.png	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/img/logo-lbpam-blue.png	(from https://www.lbpam.com/fr)
12:01:13	166583/166583	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2011:01:12%20GMT	https://www.lbpam.com/fr/notre-identite/expert-de-la-finance-durable	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/notre-identite/expert-de-la-finance-durable.html	(from https://www.lbpam.com/fr)
12:01:13	228954/228954	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2011:01:13%20GMT	https://www.lbpam.com/fr/notre-identite/qui-sommes-nous	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/notre-identite/qui-sommes-nous.html	(from https://www.lbpam.com/fr)
12:01:13	256158/256158	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2011:01:13%20GMT	https://www.lbpam.com/fr/notre-identite/gouvernance	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/notre-identite/gouvernance.html	(from https://www.lbpam.com/fr)
